departure_iata,destination_iata
AAL,CPH
AAL,AMS
AAR,CPH
AAR,STN
ABJ,NBO
ABJ,CDG
ABQ,DFW
ABQ,ATL
ABQ,ORD
ABV,LOS
ABV,FRA
ABV,IST
ABV,LHR
ABV,ADD
ABX,SYD
ABZ,BHD
ABZ,AMS
ABZ,LGW
ABZ,LHR
ABZ,DUB
ABZ,BHX
ACC,IST
ACC,BRU
ACC,ADD
ACC,AMS
ACC,BJL
ACC,LHR
ACC,LOS
ACC,DOH
ACC,FNA
ACE,DUB
ACE,TFN
ACH,VIE
ADB,ORK
ADB,ESB
ADB,SAW
ADB,IST
ADB,DUB
ADD,DAR
ADD,KGL
ADD,JNB
ADD,NBO
ADD,FIH
ADD,WDH
ADD,DXB
ADD,EBB
ADD,FCO
ADD,MAN
ADD,LLW
ADD,BGF
ADD,FNA
ADD,BLZ
ADD,NDJ
ADD,AMH
ADD,CDG
ADD,DOH
ADD,LHR
ADD,BRU
ADD,CAI
ADD,PEK
ADD,AWA
ADD,JUB
ADD,BKK
ADD,ARN
ADD,LUN
ADD,NLA
ADD,GGR
ADD,MBA
ADD,MGQ
ADD,FRA
ADD,TNR
ADD,IST
ADD,HRE
ADD,BJM
ADL,PLO
ADL,DXB
ADL,DOH
ADL,MEL
ADL,SYD
AEP,GRU
AES,AMS
AEY,RKV
AGA,ZRH
AGA,CMN
AGA,DUB
AGP,SNN
AGP,DUS
AGP,LIS
AGP,FRA
AGP,VNO
AGP,FCO
AGP,BRU
AGP,BCN
AGP,MAD
AGP,BGY
AGP,CGN
AGP,BFS
AGP,ZRH
AGP,DUB
AGP,BLQ
AGP,NOC
AGP,ORK
AGP,VIE
AHO,BGY
AHO,DUB
AHO,ORK
AJA,NTE
AJA,ORY
AJU,REC
AKL,SFO
AKL,PMR
AKL,NSN
AKL,MEL
AKL,KUL
AKL,LAX
AKL,SZX
AKL,CHC
AKL,PVG
AKL,SYD
AKL,DUD
AKL,DXB
AKL,ZQN
AKL,SIN
AKL,DOH
AKL,WLG
ALA,DOH
ALA,NQZ
ALA,IST
ALA,DEL
ALA,DYU
ALA,FRU
ALC,SNN
ALC,SVQ
ALC,WRO
ALC,DUB
ALC,NOC
ALC,ORK
ALC,KIR
ALF,OSL
ALG,DUB
ALG,BSK
ALG,FRA
ALG,CDG
AMD,DXB
AMD,BOM
AMD,DOH
AMD,DEL
AMM,DXB
AMM,BEY
AMM,SAW
AMM,IST
AMM,LCA
AMM,DOH
AMM,BUD
AMM,FCO
AMM,ZRH
AMM,LHR
AMM,FRA
AMS,WAW
AMS,HAJ
AMS,SIN
AMS,LCY
AMS,POZ
AMS,NBO
AMS,GDN
AMS,GOT
AMS,MUC
AMS,GVA
AMS,KEF
AMS,SLC
AMS,VCE
AMS,BOG
AMS,EZE
AMS,DUS
AMS,LYS
AMS,KUL
AMS,PRG
AMS,BSL
AMS,DAR
AMS,GRU
AMS,SVQ
AMS,MST
AMS,CUR
AMS,KRS
AMS,LOS
AMS,GIG
AMS,TLL
AMS,MEX
AMS,WRO
AMS,CWL
AMS,VLC
AMS,MAD
AMS,CMN
AMS,PTY
AMS,MAN
AMS,ATL
AMS,HKG
AMS,OTP
AMS,SVG
AMS,NAP
